time (s),B_z (T)
3.0400000000000004e-05,3.963076518902524e-05
3.0500000000000003e-05,2.91568714631722e-05
3.0600000000000005e-05,2.7787377350902848e-05
3.07e-05,3.221446464240571e-05
3.08e-05,3.664588459079576e-05
3.0900000000000006e-05,4.5561483495839055e-05
3.1e-05,4.922894111233863e-05
3.1100000000000004e-05,4.130595823541724e-05
3.12e-05,3.771008757705348e-05
3.13e-05,3.369063290408849e-05
3.1400000000000004e-05,3.967526233503239e-05
3.15e-05,4.473127494770473e-05
3.16e-05,4.0767058711722744e-05
3.1700000000000005e-05,2.720827856620609e-05
3.18e-05,2.8327381142995147e-05
3.19e-05,1.622117278798636e-05
3.2000000000000005e-05,7.6021278722380695e-06
3.21e-05,8.665494974214598e-06
3.2200000000000003e-05,1.0452347369437642e-05
3.2300000000000006e-05,4.319052957974856e-06
3.24e-05,4.279325029822111e-06
3.2500000000000004e-05,6.772203098618616e-06
3.26e-05,2.0267677866883757e-05
3.27e-05,2.5738998680170702e-05
3.2800000000000004e-05,1.9594221603217783e-05
3.29e-05,1.5695283818018395e-05
3.3e-05,1.7819976150171962e-05
3.3100000000000005e-05,2.3927374521705793e-05
3.32e-05,2.3421583789310284e-05
3.33e-05,2.2205939296906668e-05
3.3400000000000005e-05,3.3052428342611836e-05
3.35e-05,3.2858728355874904e-05
3.3600000000000004e-05,1.687360122516298e-05
3.3700000000000006e-05,3.808828839191405e-05
3.38e-05,3.496428322869033e-05
3.3900000000000004e-05,3.081564415961097e-05
3.4e-05,3.320456633317181e-05
3.41e-05,3.365237311137041e-05
3.4200000000000005e-05,3.9717426849259734e-05
3.43e-05,3.994822036991354e-05
3.44e-05,4.4661429183894165e-05
3.4500000000000005e-05,3.8082699817003736e-05
3.46e-05,1.9383896739665482e-05
3.47e-05,2.2049043223087254e-05
3.4800000000000006e-05,1.3556824379851386e-05
3.49e-05,1.0341898630066087e-06
3.5000000000000004e-05,2.1262949447503955e-06
3.5100000000000006e-05,3.0049427228427647e-06
3.52e-05,6.671222921518583e-06
3.5300000000000004e-05,1.4800312590835268e-05
3.54e-05,1.31025477968271e-05
3.55e-05,2.586931617866508e-07
3.5600000000000005e-05,6.232174290061624e-06
3.57e-05,1.0851360505150476e-05
3.58e-05,2.2917321924593603e-06
3.5900000000000005e-05,1.691234672184296e-05
3.6e-05,1.0288974124188999e-05
3.61e-05,1.7991915514171304e-05
3.6200000000000006e-05,2.321345597910093e-05
3.63e-05,1.5036650173554702e-05
3.6400000000000004e-05,1.1039832092157825e-05
3.6500000000000006e-05,1.5627526650033745e-05
3.66e-05,2.3592657426028148e-05
3.6700000000000004e-05,1.782204968584106e-05
3.68e-05,1.2525481589025843e-05
3.69e-05,2.3537155517842362e-06
3.7000000000000005e-05,1.2336302538038026e-05
3.71e-05,1.9136754159761083e-05
3.72e-05,1.798642951071831e-05
3.7300000000000005e-05,7.686365060470352e-06
3.74e-05,6.207793224464111e-06
3.7500000000000003e-05,6.0445689442692715e-06
3.7600000000000006e-05,9.657605147041458e-06
3.77e-05,-4.662773688099062e-06
3.7800000000000004e-05,8.581651808522589e-07
3.7900000000000006e-05,-1.3955415096539634e-06
3.8e-05,6.213068968323806e-06
3.8100000000000005e-05,1.0432646168834552e-05
3.82e-05,2.2637809995313836e-06
3.83e-05,2.1686456764482583e-06
3.8400000000000005e-05,-1.7396321863715179e-06
3.85e-05,-3.3637725691675096e-07
3.86e-05,-6.841643935636641e-06
3.8700000000000006e-05,-1.0455173920810204e-05
3.88e-05,-1.4237736648225715e-05
3.8900000000000004e-05,-2.826148026818182e-05
3.9000000000000006e-05,-2.4479013874991976e-05
3.91e-05,-9.6341290354564e-06
3.9200000000000004e-05,-1.2891682471940867e-05
3.9300000000000007e-05,-9.488793573631128e-06
3.94e-05,-1.2620701633373288e-05
3.9500000000000005e-05,-3.191809282104327e-05
3.96e-05,-3.928123411681817e-05
3.97e-05,-2.634376749144959e-05
3.9800000000000005e-05,-8.955724589085067e-06
3.99e-05,-8.953509220851301e-06
4e-05,-1.544124539306707e-05
4.0100000000000006e-05,-9.094655769733704e-06
4.02e-05,-1.6346514920745764e-05
4.0300000000000004e-05,-1.3977998070479784e-05
4.0400000000000006e-05,-1.3774786923459743e-05
4.05e-05,-1.972996559878319e-05
4.0600000000000004e-05,-1.4905442983661272e-05
4.070000000000001e-05,-1.526548521428071e-05
4.08e-05,-1.494292883385595e-06
4.0900000000000005e-05,7.325948142870367e-06
4.1e-05,7.85482908624971e-06
4.11e-05,-2.341227194552733e-06
4.1200000000000005e-05,-1.0022323299662147e-05
4.13e-05,-1.6616095387971389e-06
4.1400000000000003e-05,4.606023309889931e-06
4.1500000000000006e-05,-4.2764894805520025e-06
4.16e-05,-3.837482967255638e-06
4.1700000000000004e-05,-9.83533693907038e-06
4.1800000000000006e-05,-1.866829029079321e-05
4.19e-05,-3.187827626046292e-05
4.2000000000000004e-05,-3.2663298835919235e-05
4.210000000000001e-05,-3.277277005372337e-05
4.22e-05,-3.558484338993313e-05
4.2300000000000005e-05,-4.504879968086891e-05
4.24e-05,-4.242406009844568e-05
4.25e-05,-4.651012622581639e-05
4.2600000000000005e-05,-4.0720502561325356e-05
4.27e-05,-3.865417784699356e-05
4.2800000000000004e-05,-4.184855798435443e-05
4.2900000000000006e-05,-3.4393091998002153e-05
4.3e-05,-3.992984442617129e-05
4.3100000000000004e-05,-4.501564643259086e-05
4.3200000000000007e-05,-4.416105977435511e-05
4.33e-05,-3.7987243520505465e-05
4.3400000000000005e-05,-3.909068717210088e-05
4.350000000000001e-05,-3.7828260986687805e-05
4.36e-05,-3.5374695597890544e-05
4.3700000000000005e-05,-3.75673500380125e-05
4.38e-05,-3.520540766740865e-05
4.39e-05,-3.3150863983940624e-05
4.4000000000000006e-05,-4.592940761899784e-05
4.41e-05,-3.530852408330706e-05
4.4200000000000004e-05,-2.3636155354079057e-05
4.4300000000000006e-05,-2.2214860202404537e-05
4.44e-05,-1.3892164985866474e-05
4.4500000000000004e-05,-1.2625238719483595e-05
4.460000000000001e-05,-6.258699249660258e-06
4.47e-05,1.6834663985279278e-06
4.4800000000000005e-05,-1.4676174686368805e-06
4.490000000000001e-05,2.3037328944228085e-06
4.5e-05,1.3188122282991421e-05
4.5100000000000005e-05,2.1698927926719165e-05
4.52e-05,3.360869975169321e-05
4.53e-05,4.4821536237472845e-05
4.5400000000000006e-05,4.927006975800414e-05
4.55e-05,4.171124794780247e-05
4.5600000000000004e-05,4.63438401649889e-05
4.5700000000000006e-05,5.333391945323197e-05
4.58e-05,5.9784139205982416e-05
4.5900000000000004e-05,5.491606789324704e-05
4.600000000000001e-05,6.0534419488107865e-05
4.61e-05,5.5922559413134825e-05
4.6200000000000005e-05,6.135459024115043e-05
4.630000000000001e-05,7.611082495958848e-05
4.64e-05,6.821960168309418e-05
4.6500000000000005e-05,6.469134014418629e-05
4.66e-05,6.487364632401858e-05
4.6700000000000003e-05,7.460570186089478e-05
4.6800000000000006e-05,9.975867651326997e-05
4.69e-05,0.00010281456387058772
4.7000000000000004e-05,0.00010288481561000228
4.7100000000000006e-05,0.00010089064629231947
4.72e-05,8.558017697423017e-05
4.7300000000000005e-05,8.489684615088404e-05
4.740000000000001e-05,8.542106862786666e-05
4.75e-05,9.550262052297946e-05
4.7600000000000005e-05,7.850378927220267e-05
4.770000000000001e-05,7.722824778248108e-05
4.78e-05,7.830684004850056e-05
4.7900000000000006e-05,6.790090372758082e-05
4.8e-05,7.700948597803286e-05
4.8100000000000004e-05,7.764157165999314e-05
4.8200000000000006e-05,8.165064153330599e-05
4.83e-05,7.969745659123449e-05
4.8400000000000004e-05,7.633499469236932e-05
4.8500000000000007e-05,6.294376588918092e-05
4.86e-05,6.783204329430657e-05
4.8700000000000005e-05,7.530234460700777e-05
4.880000000000001e-05,7.929771612182743e-05
4.89e-05,7.218154005907228e-05
4.9000000000000005e-05,6.64097309824932e-05
4.910000000000001e-05,5.588134998041684e-05
4.92e-05,5.356284989262693e-05
4.9300000000000006e-05,6.403786881713358e-05
4.94e-05,6.853541055192566e-05
4.9500000000000004e-05,6.239289734604126e-05
4.9600000000000006e-05,5.0248937367503385e-05
4.97e-05,5.17452317563258e-05
4.9800000000000004e-05,5.483732496229675e-05
4.990000000000001e-05,5.248028844027935e-05
5e-05,4.915379099884469e-05
5.0100000000000005e-05,4.4449959516825004e-05
5.020000000000001e-05,4.218711594396697e-05
5.03e-05,3.4121514985334996e-05
5.0400000000000005e-05,3.560882792122967e-05
5.050000000000001e-05,3.848219335389068e-05
5.0600000000000003e-05,4.009365156682788e-05
5.0700000000000006e-05,4.06475090223965e-05
5.08e-05,5.0386569925448484e-05
5.0900000000000004e-05,4.7723625141048306e-05
5.1000000000000006e-05,4.738115840959346e-05
5.11e-05,6.06947579048237e-05
5.1200000000000004e-05,4.897898909741603e-05
5.130000000000001e-05,3.2651269362544507e-05
5.14e-05,3.6262682109770894e-05
5.1500000000000005e-05,3.4155962455835564e-05
5.160000000000001e-05,4.873727909783684e-05
5.17e-05,5.577947749396939e-05
5.1800000000000005e-05,6.113572692826448e-05
5.19e-05,6.687669512295274e-05
5.2000000000000004e-05,5.820737923855985e-05
5.2100000000000006e-05,5.839674817749852e-05
5.22e-05,7.384903940186466e-05
5.2300000000000004e-05,6.332341299085467e-05
5.2400000000000007e-05,6.236365837438261e-05
5.25e-05,5.3589070677599445e-05
5.2600000000000005e-05,5.775508245083705e-05
5.270000000000001e-05,6.432299148598854e-05
5.28e-05,5.637931487303095e-05
5.2900000000000005e-05,5.570965063973818e-05
5.300000000000001e-05,6.570326803621522e-05
5.31e-05,6.568453775804461e-05
5.3200000000000006e-05,5.68762306507601e-05
5.33e-05,5.983138538916258e-05
5.3400000000000004e-05,7.451438825309249e-05
5.3500000000000006e-05,6.296344147152611e-05
5.36e-05,5.8834633625304764e-05
5.3700000000000004e-05,5.5941792874769195e-05
5.380000000000001e-05,5.931614172098524e-05
5.39e-05,6.09976459724362e-05
5.4000000000000005e-05,6.492765886816842e-05
5.410000000000001e-05,7.878248651884225e-05
5.42e-05,7.760022873349813e-05
5.4300000000000005e-05,7.024144519209348e-05
5.440000000000001e-05,7.02048036502796e-05
5.45e-05,8.125194749699574e-05
5.4600000000000006e-05,7.904635249049277e-05
5.47e-05,8.350741512224257e-05
5.4800000000000004e-05,8.376811563180463e-05
5.4900000000000006e-05,8.147861906672877e-05
5.5e-05,7.74507255124596e-05
5.5100000000000004e-05,8.375367769200197e-05
5.520000000000001e-05,7.892666296068115e-05
5.53e-05,7.653619011832034e-05
5.5400000000000005e-05,6.25327636667242e-05
5.550000000000001e-05,6.0115246010991014e-05
5.56e-05,5.798124701296796e-05
5.5700000000000005e-05,5.83639040557472e-05
5.580000000000001e-05,5.3435541279384045e-05
5.5900000000000004e-05,4.260402759127404e-05
5.6000000000000006e-05,4.472878080110927e-05
5.61e-05,4.844802698433922e-05
5.6200000000000004e-05,4.233727305163151e-05
5.6300000000000006e-05,4.346029907696831e-05
5.64e-05,3.9086438614102834e-05
5.6500000000000005e-05,3.6932527117912786e-05
5.660000000000001e-05,3.726377030582098e-05
5.67e-05,3.222388364814857e-05
5.6800000000000005e-05,2.3635067328311142e-05
5.690000000000001e-05,3.793786180289211e-05
5.7e-05,3.589051882523036e-05
5.7100000000000006e-05,3.689111115052761e-05
5.720000000000001e-05,4.637995798090159e-05
5.7300000000000004e-05,5.4263658686404017e-05
5.7400000000000006e-05,4.5834351986084324e-05
5.75e-05,4.1207346256915095e-05
5.7600000000000004e-05,6.34723920030992e-05
5.7700000000000007e-05,6.327622543983063e-05
5.78e-05,6.887271298847123e-05
5.7900000000000005e-05,7.03028972900246e-05
5.800000000000001e-05,6.764720584645164e-05
5.81e-05,6.719879943816045e-05
5.8200000000000005e-05,6.846769694701726e-05
5.830000000000001e-05,7.02706162097662e-05
5.84e-05,4.9075162186931976e-05
5.8500000000000006e-05,4.436246815482633e-05
5.860000000000001e-05,3.755712116575646e-05
5.8700000000000004e-05,2.2490695551682693e-05
5.8800000000000006e-05,1.4928260786814452e-05
5.89e-05,-2.725045226327888e-06
5.9000000000000004e-05,1.0999045214147902e-05
5.910000000000001e-05,6.722001585960306e-06
5.92e-05,2.4398564770815834e-06
5.9300000000000005e-05,7.95990311751799e-06
5.940000000000001e-05,5.7185954738458596e-06
5.95e-05,1.0496792123192996e-05
5.9600000000000005e-05,7.4181011763936605e-06
5.970000000000001e-05,6.3395961674256175e-06
5.9800000000000003e-05,3.22959244522034e-06
5.9900000000000006e-05,9.720574518049945e-06
6.000000000000001e-05,4.994072655408149e-06
6.0100000000000004e-05,-1.5006456788293971e-05
6.0200000000000006e-05,-1.468327609737647e-05
6.03e-05,-7.2185705601265185e-06
6.0400000000000004e-05,-1.3127335240323038e-05
6.050000000000001e-05,-2.165533466805758e-05
6.06e-05,-2.6559152420832023e-05
6.0700000000000005e-05,-4.483258158809565e-05
6.080000000000001e-05,-5.2840876249972953e-05
6.09e-05,-5.861604470587305e-05
6.1000000000000005e-05,-5.2891483970068894e-05
6.110000000000001e-05,-5.639363695306335e-05
6.120000000000001e-05,-5.056319037084684e-05
6.13e-05,-6.103080685966086e-05
6.14e-05,-4.137051694850968e-05
6.15e-05,-4.813405995969606e-05
6.16e-05,-5.615831233783832e-05
6.170000000000001e-05,-4.56620288268167e-05
6.180000000000001e-05,-5.431052084322112e-05
6.19e-05,-5.195976302113446e-05
6.2e-05,-2.9680555048763682e-05
6.21e-05,-3.3872300798794276e-05
6.220000000000001e-05,-4.9017948495928705e-05
6.230000000000001e-05,-4.85248971354262e-05
6.24e-05,-5.368962714521075e-05
6.25e-05,-6.0834943743871836e-05
6.26e-05,-5.658145480456482e-05
6.27e-05,-4.8434049986298945e-05
6.280000000000001e-05,-4.5094177259731516e-05
6.290000000000001e-05,-4.2285181533053285e-05
6.3e-05,-5.410228807422931e-05
6.31e-05,-5.810831218224858e-05
6.32e-05,-5.160661727171872e-05
6.330000000000001e-05,-6.0242138763399314e-05
6.340000000000001e-05,-5.6535058150763827e-05
6.350000000000001e-05,-6.360368183703808e-05
6.36e-05,-5.636755802855625e-05
6.37e-05,-6.338087699038253e-05
6.38e-05,-5.714858558319896e-05
6.390000000000001e-05,-5.0994515098337e-05
6.400000000000001e-05,-5.065637811500414e-05
6.41e-05,-5.196202799940481e-05
6.42e-05,-6.171046279454889e-05
6.43e-05,-7.217987726287592e-05
6.440000000000001e-05,-5.5280801371491036e-05
6.450000000000001e-05,-6.175044562580854e-05
6.460000000000001e-05,-7.669976952829932e-05
6.47e-05,-7.411501260067413e-05
