time (s),B_z (T)
2.8000000000000003e-08,2.6557499565100465e-05
2.81e-08,1.2236613552715318e-05
2.82e-08,-9.282198080676663e-07
2.8300000000000002e-08,4.234767934886768e-06
2.84e-08,4.5842174127634665e-06
2.85e-08,6.160462669337113e-06
2.86e-08,-2.4904105742750176e-06
2.8700000000000002e-08,-2.616089186665489e-06
2.88e-08,1.038441821681571e-05
2.89e-08,1.5618505397512992e-05
2.9e-08,1.6562097077268714e-05
2.9100000000000002e-08,1.3554043134936782e-05
2.92e-08,1.0863973610817241e-05
2.93e-08,-3.0325445152598235e-06
2.9400000000000002e-08,-1.3339229837201325e-06
2.95e-08,4.1545928564170624e-06
2.96e-08,-6.090260140870642e-06
2.97e-08,-1.0312914282235548e-05
2.9800000000000002e-08,-1.7705895564275988e-05
2.99e-08,-2.3781212810636444e-05
3.0000000000000004e-08,-2.319824544933689e-05
3.01e-08,-3.6465747249152994e-05
3.02e-08,-3.212496831065415e-05
3.03e-08,-2.6923448191900496e-05
3.04e-08,-2.828166442603226e-05
3.05e-08,-4.4065015853351136e-05
3.06e-08,-5.0079244277453096e-05
3.0700000000000004e-08,-4.159682842601937e-05
3.08e-08,-5.917287730459639e-05
3.09e-08,-6.0834615580392284e-05
3.1e-08,-6.787083880548583e-05
3.11e-08,-6.198521582218897e-05
3.12e-08,-6.574040631189617e-05
3.13e-08,-6.247032251943785e-05
3.14e-08,-5.818688132593679e-05
3.1500000000000004e-08,-4.571674282676713e-05
3.16e-08,-4.657608033298835e-05
3.17e-08,-4.367742418727327e-05
3.18e-08,-5.285986048632752e-05
3.19e-08,-4.462492642766576e-05
3.2e-08,-4.910586137079222e-05
3.21e-08,-5.224862386443909e-05
3.2200000000000004e-08,-5.187281531327805e-05
3.23e-08,-6.147771613180766e-05
3.24e-08,-5.9384516481315424e-05
3.25e-08,-5.2528439836861034e-05
3.26e-08,-5.010877024807004e-05
3.27e-08,-5.989968196672934e-05
3.28e-08,-6.010544371006844e-05
3.2900000000000003e-08,-5.470209799046939e-05
3.3000000000000004e-08,-6.631942387537263e-05
3.31e-08,-7.26195851446944e-05
3.32e-08,-6.622062122195224e-05
3.33e-08,-6.381261071066085e-05
3.34e-08,-6.0509788078045645e-05
3.35e-08,-4.786584933866048e-05
3.36e-08,-4.435528686707834e-05
3.3700000000000004e-08,-3.9653543744939524e-05
3.38e-08,-2.170453468964757e-05
3.39e-08,-2.2873142594058004e-05
3.4e-08,-2.7812540214977282e-05
3.41e-08,-2.476544473475608e-05
3.42e-08,-2.167617332708764e-05
3.43e-08,-2.4871434937012607e-05
3.4400000000000004e-08,-3.130963426831661e-05
3.4500000000000005e-08,-1.6039834019321745e-05
3.46e-08,-1.376363748371904e-05
3.47e-08,-1.8368875735009955e-05
3.48e-08,-1.2254652048493937e-05
3.49e-08,-1.2839526602228375e-05
3.5e-08,-1.4349399861846673e-05
3.51e-08,-1.0565412007110952e-05
3.5200000000000004e-08,-1.8826352728695938e-05
3.53e-08,-1.6355457628440413e-05
3.54e-08,-3.804661529432786e-06
3.55e-08,-7.478961585366178e-07
3.56e-08,-3.176757096001136e-06
3.57e-08,-6.429098338341893e-06
3.58e-08,-9.022438193350238e-06
3.5900000000000004e-08,-1.0577294038964215e-05
3.6e-08,-1.2918676156411005e-05
3.61e-08,-6.856214654536479e-06
3.62e-08,-1.801204000717409e-05
3.63e-08,-1.2250612475463184e-05
3.64e-08,-1.4587519392312594e-05
3.65e-08,-1.2001304336351433e-05
3.6600000000000003e-08,-1.918012240861359e-05
3.6700000000000004e-08,-1.0385228041189071e-05
3.68e-08,-2.2153167628709373e-06
3.69e-08,4.020914484235265e-06
3.7e-08,-5.828457152890873e-06
3.71e-08,-4.011784626879677e-07
3.72e-08,2.2246043467514577e-06
3.73e-08,-8.193067076781832e-06
3.7400000000000004e-08,-8.268891521975406e-06
3.75e-08,-5.825934823665379e-06
3.76e-08,-2.1668917348019808e-06
3.77e-08,-9.97408313653842e-07
3.78e-08,8.98494371419139e-07
3.79e-08,1.0432477655926933e-05
3.8e-08,1.826831534653893e-05
3.8100000000000004e-08,-4.801474681255106e-07
3.8200000000000005e-08,-2.5310623822031697e-06
3.83e-08,-3.5721373947750084e-06
3.84e-08,-1.4882965709107083e-05
3.85e-08,-1.4124959995993433e-05
3.86e-08,-5.897614820696308e-06
3.87e-08,-1.2875410415509586e-05
3.8800000000000003e-08,-1.0568807449010126e-05
3.8900000000000004e-08,-1.6394404591673253e-05
3.9e-08,-2.0582495943539756e-05
3.91e-08,-1.0810279907578037e-05
3.92e-08,-1.4216252550977434e-05
3.93e-08,-1.1081568085139791e-05
3.94e-08,-2.3089079610819776e-05
3.95e-08,-1.0799203340794304e-05
3.9600000000000004e-08,-6.789047447730687e-06
3.97e-08,-7.903341499901634e-06
3.98e-08,-4.097534573988785e-06
3.99e-08,-1.31865780842307e-05
4e-08,-5.397447949620891e-06
4.01e-08,-7.441827414346124e-06
4.02e-08,-8.68930870363577e-06
4.0300000000000004e-08,-1.1786749035770272e-05
4.0400000000000004e-08,-1.5429694935632047e-05
4.05e-08,-1.0777566727658782e-05
4.06e-08,-9.013107325730598e-06
4.07e-08,-4.702785791209098e-06
4.08e-08,-4.712945602176458e-06
4.09e-08,-1.3426330865029548e-06
4.1e-08,-4.041685852681087e-06
4.1100000000000004e-08,1.0437994702727253e-05
4.12e-08,1.8041323873803471e-07
4.13e-08,8.344290825187224e-06
4.14e-08,1.711966166479439e-05
4.15e-08,1.1430844116686094e-05
4.16e-08,2.5753602980762887e-05
4.17e-08,3.194402117346483e-05
4.1800000000000004e-08,3.7915147851132906e-05
4.1900000000000005e-08,3.7719354012283276e-05
4.2e-08,3.593731068064193e-05
4.21e-08,3.422362303744099e-05
4.22e-08,3.641211969764679e-05
4.23e-08,4.51237204863503e-05
4.24e-08,4.584890021046253e-05
4.2500000000000003e-08,3.949030088597617e-05
4.2600000000000004e-08,4.4436252585057815e-05
4.27e-08,4.9959361747903904e-05
4.28e-08,5.370175119004848e-05
4.29e-08,5.799516770971549e-05
4.3e-08,5.566360939324886e-05
4.31e-08,4.90937293276718e-05
4.32e-08,4.298292626250836e-05
4.3300000000000004e-08,3.196418312752869e-05
4.3400000000000005e-08,3.318058382584529e-05
4.35e-08,3.231002759565408e-05
4.36e-08,2.913923199041094e-05
4.37e-08,9.709073175851148e-06
4.38e-08,1.5349940291842474e-06
4.39e-08,8.778144748308984e-06
4.4000000000000004e-08,4.386765725115072e-06
4.4100000000000004e-08,6.678263375436707e-06
4.42e-08,-2.3940917266803732e-06
4.43e-08,6.9466070210779834e-06
4.44e-08,5.944781976104331e-06
4.45e-08,7.763895814425848e-06
4.46e-08,2.2748103408946783e-05
4.47e-08,3.2342032820694706e-05
4.4800000000000004e-08,3.0034943516637386e-05
4.49e-08,2.5894470958673962e-05
4.5e-08,2.3528627804753126e-05
4.51e-08,2.6596551462513143e-05
4.52e-08,2.565049299351458e-05
4.53e-08,2.283571457170602e-05
4.54e-08,3.2109778074054886e-05
4.5500000000000004e-08,3.1050671439472404e-05
4.5600000000000005e-08,4.563356404825734e-05
4.57e-08,4.5767140016521005e-05
4.58e-08,5.687324845762282e-05
4.59e-08,5.862130616421729e-05
4.6e-08,6.427402690604573e-05
4.61e-08,5.8941998922737994e-05
4.6200000000000003e-08,5.282667806762199e-05
4.6300000000000004e-08,5.52780422265496e-05
4.64e-08,6.112976393196591e-05
4.65e-08,6.0782208700457424e-05
4.66e-08,5.1846892937216353e-05
4.67e-08,4.252214432842605e-05
4.68e-08,3.285708470520656e-05
4.69e-08,2.1083251065688836e-05
4.7000000000000004e-08,2.15824827352466e-05
